ra,dec,hr,multiple,vmag,sptype
17h26m46.2s,+34d41m45s,HR6506,G,5.94,A0V
17h35m39.6s,-46d30m20s,HR6537,G,4.59,A0V
17h35m43.0s,-37d26m24s,HR6539,G,6.48,A0V
17h41m16.3s,-46d55m19s,HR6572,G,5.79,A0V
17h44m35.4s,+02d34m44s,HR6610,G,6.56,A0V
17h45m40.3s,+31d30m17s,HR6619,G,6.23,A0Ib
17h47m53.6s,+02d42m26s,HR6629,G,3.75,A0Vnp
17h51m12.5s,-30d33m26s,HR6645,W,6.66,A0Vn
17h57m57.8s,-39d08m13s,HR6683,W,6.29,A0IV-V
18h03m14.7s,+19d36m47s,HR6744,G,6.50,A0V
18h15m30.8s,-18d39m41s,HR6825,G,6.07,A0Ia
18h23m36.1s,-75d02m39s,HR6829,G,5.47,A0V
18h25m38.8s,+08d01m55s,HR6902,G,5.65,G8III-IV+A0V
18h24m58.5s,+27d23m43s,HR6904,G,6.27,A0V+A4V
18h20m45.5s,+71d20m16s,HR6920,G,4.22,A0pSi:
18h31m26.3s,-18d24m10s,HR6944,G,5.14,A0Vp
18h33m23.3s,-38d43m13s,HR6952,W,6.32,A0III
18h32m07.0s,+03d39m35s,HR6958,G,6.43,A0pSiCr
18h33m22.9s,-05d54m41s,HR6963,G,6.36,A0Vn
18h35m12.6s,+18d12m12s,HR6977,S,5.78,A0Vn
18h36m56.3s,+38d47m01s,HR7001,G,0.03,A0Va
18h37m33.5s,+62d31m36s,HR7018,G,5.74,A0V
18h39m52.8s,+52d11m46s,HR7028,G,6.00,A0p:Hg:
18h48m45.3s,-18d36m05s,HR7072,W,6.47,G5III:+A0V:
18h49m44.0s,+31d37m45s,HR7098,G,6.64,A0V
18h58m27.7s,-52d56m19s,HR7134,G,4.87,A0V
18h57m20.5s,-20d39m23s,HR7145,G,5.08,A0II
18h58m20.5s,-24d52m36s,HR7155,D,6.62,A0
18h59m11.1s,-39d32m05s,HR7156,W,6.49,A0
19h02m08.7s,-41d54m36s,HR7177,G,6.23,A0V
19h04m25.1s,-31d02m49s,HR7211,G,5.50,A0IV
19h06m55.6s,-48d17m57s,HR7223,G,5.97,A0V
18h58m52.6s,+69d31m52s,HR7224,G,6.52,A0pSi
19h05m24.6s,+13d51m48s,HR7235,G,2.99,A0Vn
19h04m55.2s,+53d23m48s,HR7251,G,5.38,A0Vn
19h09m36.4s,-36d09m53s,HR7256,G,6.56,A0IV
19h09m45.8s,+65d58m43s,HR7290,G,6.25,A0V
19h22m51.1s,-54d25m25s,HR7329,G,5.05,A0Vn
19h19m01.2s,+37d26m43s,HR7338,G,6.22,A0III
19h25m22.4s,+20d16m17s,HR7384,G,6.31,A0V
19h26m13.2s,+20d05m52s,HR7390,G,5.63,A0V
19h29m01.0s,+01d57m01s,HR7400,G,5.80,A0IVp
19h30m33.1s,+03d26m40s,HR7415,G,6.05,A0eShell
19h31m13.6s,+55d43m55s,HR7428,G,6.37,K2II-IIIe+A0V
19h34m50.9s,+29d27m47s,HR7441,W,5.38,F8III+A0V
19h50m44.8s,-59d11m35s,HR7531,W,5.42,A0IV
19h47m23.3s,+18d32m03s,HR7536,W,3.82,M2II+A0V
19h51m50.6s,-39d52m28s,HR7552,G,5.33,A0pCrSr:
19h53m06.4s,-14d36m11s,HR7571,S,6.48,A0V+F8IV
19h58m53.0s,-68d45m44s,HR7588,G,6.39,A0V+F5IV
20h00m35.5s,-72d54m38s,HR7590,G,3.96,A0V
19h54m44.8s,+00d16m25s,HR7596,G,5.61,A0III
19h54m31.1s,+24d19m10s,HR7601,G,5.52,A0III
20h14m05.0s,+36d36m19s,HR7734,G,6.45,A0V
20h20m46.6s,-14d47m06s,HR7775,G,6.10,A0III
20h21m00.7s,-14d46m53s,HR7776,W,3.08,F8V+A0
20h22m27.5s,-42d02m59s,HR7779,W,5.59,A0V
20h19m48.3s,+37d07m57s,HR7782,G,6.57,A0III
20h32m52.4s,-24d56m38s,HR7842,G,6.36,A0
20h31m30.4s,+74d57m17s,HR7879,G,5.20,A0pSrCrEu
20h38m31.3s,+21d12m04s,HR7891,G,4.82,A0V
20h39m10.6s,+21d49m02s,HR7903,G,6.08,A0III
20h46m10.0s,-21d30m51s,HR7937,G,5.93,A0
20h47m48.3s,+06d00m30s,HR7953,G,5.58,A0V
20h47m47.8s,+03d18m24s,HR7954,G,6.40,A0Vn
20h42m35.2s,+82d31m52s,HR8002,G,5.75,A0V
21h07m44.6s,-17d27m19s,HR8083,G,6.17,A0V
21h08m33.6s,-21d11m37s,HR8087,W,5.30,A0V
21h24m24.8s,-41d00m24s,HR8180,W,5.77,A0IIIpSi
21h33m20.6s,-80d02m21s,HR8201,W,6.47,A0V
21h29m03.8s,-31d14m19s,HR8214,G,6.50,A0
21h32m56.6s,+49d58m40s,HR8246,S,5.75,A0V
21h38m02.9s,-64d49m27s,HR8249,G,6.20,A0-1IV
21h42m22.9s,+41d04m38s,HR8300,W,5.69,A0V
21h44m56.8s,-33d01m33s,HR8305,W,4.34,A0V
21h43m25.7s,+38d17m02s,HR8307,W,5.65,A0V
21h47m01.0s,+70d09m03s,HR8342,G,6.29,A0V
21h53m37.4s,+19d40m06s,HR8358,G,5.68,A0V
21h59m23.0s,+57d39m30s,HR8389,G,6.59,A0III-IV
22h02m56.7s,+44d39m00s,HR8407,G,5.60,A0IV
22h05m50.6s,+45d06m44s,HR8422,G,6.44,A0V
22h06m13.5s,+56d20m35s,HR8434,G,6.39,A0III
22h13m49.3s,+45d26m27s,HR8487,G,5.53,A0III
22h21m39.4s,-01d23m14s,HR8518,G,3.84,A0V
22h24m06.9s,-04d50m13s,HR8533,G,5.78,A0V
22h26m10.7s,-23d40m57s,HR8542,G,6.29,A0V
22h30m38.8s,-10d40m41s,HR8573,G,4.82,A0IV
22h31m30.3s,-32d20m46s,HR8576,W,4.29,A0V
22h33m17.0s,+70d22m26s,HR8598,G,6.34,A0V
22h43m14.3s,-06d57m46s,HR8647,G,6.41,A0Vn
22h47m42.8s,-14d03m23s,HR8673,G,5.66,A0V
22h52m31.6s,-32d52m32s,HR8695,W,4.46,A0III*
23h09m49.6s,-14d30m38s,HR8816,G,6.42,A0Vn
23h14m14.3s,+50d37m04s,HR8837,G,6.31,A0V
23h14m37.3s,+74d13m52s,HR8844,G,5.84,A0V
23h18m57.7s,-09d36m39s,HR8865,G,4.98,A0V
23h26m56.0s,+01d15m20s,HR8911,W,4.94,A0pCrSi:Sr:
23h27m40.4s,+25d10m02s,HR8915,G,5.98,A0pHgMn
23h46m02.1s,+46d25m13s,HR9003,W,4.95,G5Ib+A0V
23h48m55.6s,-28d07m49s,HR9016,G,4.57,A0V
23h48m39.0s,+64d52m35s,HR9017,G,6.41,A0pSrSi:Cr:
23h48m53.9s,+59d58m44s,HR9019,G,6.34,A0V
00h04m20.3s,-29d16m07s,HR9102,G,6.40,A0V
